Title;Link;user1;user2;user3;user4;user5;user6;user7;user8;user9;user10;user11;user12;user13;user14;user15;user16
Almond Rice Pudding;https://medlineplus.gov/recipes/almond-rice-pudding/;0.0;1.0;4.0;4.0;5.0;3.0;4.0;3.0;3.0;2.0;2.0;4.0;3.0;2.0;3.0;2
Any Berry Sauce;https://medlineplus.gov/recipes/any-berry-sauce/;3.0;3.0;4.0;3.0;4.0;4.0;4.0;3.0;1.0;4.0;3.0;2.0;2.0;4.0;4.0;2
Apple Bars;https://medlineplus.gov/recipes/apple-bars/;4.0;3.0;4.0;3.0;5.0;3.0;2.0;4.0;4.0;4.0;3.0;3.0;2.0;2.0;2.0;2
Apple Sandwiches;https://medlineplus.gov/recipes/apple-sandwiches/;2.0;0.0;2.0;3.0;1.0;2.0;2.0;2.0;1.0;3.0;2.0;3.0;;0.0;0.0;0
Applesauce French Toast;https://medlineplus.gov/recipes/applesauce-french-toast/;1.0;1.0;4.0;3.0;3.0;4.0;2.0;4.0;1.0;2.0;3.0;1.0;3.0;4.0;2.0;3
Autumn Squash Bisque with Ginger;https://medlineplus.gov/recipes/autumn-squash-bisque-with-ginger/;1.0;0.0;3.0;1.0;5.0;2.0;4.0;1.0;1.0;3.0;2.0;2.0;;0.0;1.0;2
Baked Apple and Cranberries;https://medlineplus.gov/recipes/baked-apple-and-cranberries/;4.0;1.0;5.0;4.0;5.0;4.0;3.0;3.0;2.0;4.0;1.0;2.0;4.0;3.0;1.0;1
Baked Berry Oatmeal;https://medlineplus.gov/recipes/baked-berry-oatmeal/;5.0;3.0;4.0;5.0;5.0;3.0;3.0;1.0;1.0;3.0;3.0;3.0;4.0;2.0;1.0;1
Baked Cauliflower Tots;https://medlineplus.gov/recipes/baked-cauliflower-tots/;3.0;3.0;5.0;3.0;5.0;2.0;4.0;1.0;1.0;2.0;2.0;1.0;;0.0;5.0;2
Baked Cinnamon Tortilla Chips;https://medlineplus.gov/recipes/baked-cinnamon-tortilla-chips/;0.0;2.0;3.0;2.0;5.0;4.0;2.0;1.0;2.0;3.0;2.0;2.0;;2.0;2.0;4
Baked Meatballs;https://medlineplus.gov/recipes/baked-meatballs/;5.0;5.0;2.0;4.0;3.0;5.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;3.0;4
Baked Tilapia with Tomatoes;https://medlineplus.gov/recipes/baked-tilapia-with-tomatoes/;5.0;2.0;4.0;1.0;3.0;3.0;2.0;4.0;4.0;4.0;2.0;3.0;;2.0;0.0;2
Baked Tofu;https://medlineplus.gov/recipes/baked-tofu/;1.0;4.0;4.0;2.0;2.0;1.0;4.0;1.0;1.0;3.0;4.0;3.0;2.0;0.0;0.0;0
Baked Tomatoes with Cheese;https://medlineplus.gov/recipes/baked-tomatoes-with-cheese/;4.0;0.0;5.0;1.0;4.0;4.0;5.0;3.0;2.0;4.0;3.0;2.0;3.0;3.0;0.0;0
Baked Tortilla Chips;https://medlineplus.gov/recipes/baked-tortilla-chips/;4.0;3.0;3.0;4.0;3.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;5.0;5.0;5.0;4
Baked Zucchini with Tomato Sauce;https://medlineplus.gov/recipes/baked-zucchini-with-tomato-sauce/;3.0;3.0;5.0;3.0;5.0;3.0;4.0;4.0;1.0;4.0;4.0;4.0;3.0;4.0;5.0;1
Banana Boats;https://medlineplus.gov/recipes/banana-boats/;2.0;0.0;2.0;1.0;4.0;3.0;3.0;3.0;1.0;2.0;5.0;4.0;5.0;4.0;1.0;2
Banana Oatmeal Bread;https://medlineplus.gov/recipes/banana-oatmeal-bread/;1.0;0.0;4.0;5.0;4.0;4.0;2.0;1.0;2.0;3.0;4.0;4.0;4.0;3.0;2.0;2
Banana Oatmeal Cookies;https://medlineplus.gov/recipes/banana-oatmeal-cookies/;2.0;0.0;4.0;5.0;4.0;4.0;2.0;2.0;4.0;2.0;4.0;4.0;3.0;3.0;2.0;2
Barley, Bean, and Corn Salad;https://medlineplus.gov/recipes/barley-bean-and-corn-salad/;1.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;1.0;1.0;2.0;3.0;1.0;2.0;0.0;1
Bean Salad;https://medlineplus.gov/recipes/bean-salad/;1.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1
Beef and Broccoli;https://medlineplus.gov/recipes/beef-and-broccoli/;2.0;5.0;3.0;4.0;2.0;4.0;2.0;3.0;2.0;3.0;5.0;4.0;3.0;1.0;5.0;3
Beet Dip;https://medlineplus.gov/recipes/beet-dip/;1.0;1.0;0.0;0.0;1.0;2.0;3.0;0.0;4.0;3.0;1.0;3.0;1.0;1.0;0.0;1
Bell Pepper Nachos;https://medlineplus.gov/recipes/bell-pepper-nachos/;5.0;3.0;1.0;4.0;3.0;3.0;3.0;1.0;4.0;4.0;2.0;4.0;3.0;5.0;5.0;3
Berry Blast Off;https://medlineplus.gov/recipes/berry-blast-off/;2.0;5.0;5.0;4.0;4.0;4.0;4.0;1.0;1.0;2.0;4.0;3.0;4.0;3.0;3.0;3
Black Bean Soup;https://medlineplus.gov/recipes/black-bean-soup/;0.0;3.0;2.0;1.0;2.0;2.0;4.0;1.0;0.0;3.0;2.0;3.0;1.0;0.0;0.0;2
Blueberry Tofu Smoothie;https://medlineplus.gov/recipes/blueberry-tofu-smoothie/;1.0;0.0;4.0;3.0;1.0;3.0;3.0;1.0;0.0;2.0;3.0;1.0;4.0;0.0;0.0;1
Bread Pudding in the Microwave;https://medlineplus.gov/recipes/bread-pudding-in-the-microwave/;0.0;1.0;2.0;4.0;3.0;5.0;2.0;2.0;4.0;2.0;3.0;4.0;5.0;5.0;1.0;3
Breakfast Banana Split;https://medlineplus.gov/recipes/breakfast-banana-split/;2.0;0.0;3.0;4.0;4.0;4.0;2.0;3.0;2.0;2.0;4.0;5.0;5.0;3.0;3.0;2
Breakfast Burritos;https://medlineplus.gov/recipes/breakfast-burritos/;5.0;1.0;2.0;3.0;2.0;5.0;4.0;3.0;2.0;4.0;4.0;5.0;4.0;3.0;3.0;4
Brocco Poppers;https://medlineplus.gov/recipes/brocco-poppers/;4.0;1.0;4.0;3.0;3.0;3.0;3.0;2.0;1.0;3.0;1.0;3.0;1.0;0.0;5.0;2
Broccoli and Everything Salad;https://medlineplus.gov/recipes/broccoli-and-everything-salad/;1.0;1.0;3.0;3.0;4.0;3.0;4.0;2.0;1.0;4.0;3.0;2.0;2.0;0.0;1.0;1
Brussels Sprouts Cranberry and Bulgur Salad;https://medlineplus.gov/recipes/brussels-sprouts-cranberry-and-bulgur-salad/;0.0;3.0;4.0;3.0;4.0;2.0;4.0;2.0;1.0;3.0;1.0;2.0;1.0;0.0;1.0;1
Buttermilk Scones;https://medlineplus.gov/recipes/buttermilk-scones/;4.0;4.0;4.0;4.0;5.0;4.0;3.0;1.0;0.0;2.0;5.0;4.0;3.0;4.0;3.0;3
Cabbage Stir Fry;https://medlineplus.gov/recipes/cabbage-stir-fry/;4.0;1.0;1.0;2.0;4.0;3.0;4.0;1.0;1.0;2.0;3.0;2.0;;1.0;2.0;3
Carrot Ginger Salad;https://medlineplus.gov/recipes/carrot-ginger-salad/;0.0;1.0;1.0;1.0;4.0;2.0;4.0;1.0;1.0;3.0;1.0;2.0;2.0;2.0;1.0;2
Cheesy Beef Pasta;https://medlineplus.gov/recipes/cheesy-beef-pasta/;5.0;4.0;5.0;4.0;3.0;5.0;4.0;3.0;2.0;2.0;5.0;5.0;4.0;4.0;4.0;1
Cheesy Polenta Pie;https://medlineplus.gov/recipes/cheesy-polenta-pie/;0.0;1.0;5.0;2.0;4.0;4.0;4.0;3.0;1.0;3.0;4.0;4.0;;2.0;2.0;1
Cheesy Potato Soup;https://medlineplus.gov/recipes/cheesy-potato-soup/;2.0;0.0;4.0;4.0;3.0;4.0;2.0;3.0;1.0;2.0;5.0;4.0;4.0;0.0;1.0;1
