Title;Link;Rating (0-5)
Almond Rice Pudding;https://medlineplus.gov/recipes/almond-rice-pudding/;2
Any Berry Sauce;https://medlineplus.gov/recipes/any-berry-sauce/;2
Apple Bars;https://medlineplus.gov/recipes/apple-bars/;2
Apple Sandwiches;https://medlineplus.gov/recipes/apple-sandwiches/;0
Applesauce French Toast;https://medlineplus.gov/recipes/applesauce-french-toast/;3
Autumn Squash Bisque with Ginger;https://medlineplus.gov/recipes/autumn-squash-bisque-with-ginger/;2
Baked Apple and Cranberries;https://medlineplus.gov/recipes/baked-apple-and-cranberries/;
Baked Berry Oatmeal;https://medlineplus.gov/recipes/baked-berry-oatmeal/;1
Baked Cauliflower Tots;https://medlineplus.gov/recipes/baked-cauliflower-tots/;2
Baked Cinnamon Tortilla Chips;https://medlineplus.gov/recipes/baked-cinnamon-tortilla-chips/;4
Baked Meatballs;https://medlineplus.gov/recipes/baked-meatballs/;
Baked Tilapia with Tomatoes;https://medlineplus.gov/recipes/baked-tilapia-with-tomatoes/;2
Baked Tofu;https://medlineplus.gov/recipes/baked-tofu/;0
Baked Tomatoes with Cheese;https://medlineplus.gov/recipes/baked-tomatoes-with-cheese/;0
Baked Tortilla Chips;https://medlineplus.gov/recipes/baked-tortilla-chips/;
Baked Zucchini with Tomato Sauce;https://medlineplus.gov/recipes/baked-zucchini-with-tomato-sauce/;1
Banana Boats;https://medlineplus.gov/recipes/banana-boats/;2
Banana Oatmeal Bread;https://medlineplus.gov/recipes/banana-oatmeal-bread/;2
Banana Oatmeal Cookies;https://medlineplus.gov/recipes/banana-oatmeal-cookies/;2
Barley, Bean, and Corn Salad;https://medlineplus.gov/recipes/barley-bean-and-corn-salad/;1
Bean Salad;https://medlineplus.gov/recipes/bean-salad/;1
Beef and Broccoli;https://medlineplus.gov/recipes/beef-and-broccoli/;3
Beet Dip;https://medlineplus.gov/recipes/beet-dip/;1
Bell Pepper Nachos;https://medlineplus.gov/recipes/bell-pepper-nachos/;
Berry Blast Off;https://medlineplus.gov/recipes/berry-blast-off/;3
Black Bean Soup;https://medlineplus.gov/recipes/black-bean-soup/;2
Blueberry Tofu Smoothie;https://medlineplus.gov/recipes/blueberry-tofu-smoothie/;1
Bread Pudding in the Microwave;https://medlineplus.gov/recipes/bread-pudding-in-the-microwave/;3
Breakfast Banana Split;https://medlineplus.gov/recipes/breakfast-banana-split/;
Breakfast Burritos;https://medlineplus.gov/recipes/breakfast-burritos/;4
Brocco Poppers;https://medlineplus.gov/recipes/brocco-poppers/;2
Broccoli and Everything Salad;https://medlineplus.gov/recipes/broccoli-and-everything-salad/;1
Brussels Sprouts Cranberry and Bulgur Salad;https://medlineplus.gov/recipes/brussels-sprouts-cranberry-and-bulgur-salad/;1
Buttermilk Scones;https://medlineplus.gov/recipes/buttermilk-scones/;3
Cabbage Stir Fry;https://medlineplus.gov/recipes/cabbage-stir-fry/;3
Carrot Ginger Salad;https://medlineplus.gov/recipes/carrot-ginger-salad/;2
Cheesy Beef Pasta;https://medlineplus.gov/recipes/cheesy-beef-pasta/;1
Cheesy Polenta Pie;https://medlineplus.gov/recipes/cheesy-polenta-pie/;
Cheesy Potato Soup;https://medlineplus.gov/recipes/cheesy-potato-soup/;1
Cherry Puff Pancake;https://medlineplus.gov/recipes/cherry-puff-pancake/;3
Chicken Cabbage Stir-fry;https://medlineplus.gov/recipes/chicken-cabbage-stir-fry/;3
Chicken Creole;https://medlineplus.gov/recipes/chicken-creole/;3
Chicken Mole;https://medlineplus.gov/recipes/chicken-mole/;
Chicken Pepper Bake;https://medlineplus.gov/recipes/chicken-pepper-bake/;
Chicken Soup with Tortilla;https://medlineplus.gov/recipes/chicken-soup-with-tortilla/;4
Chicken and Black Bean Salsa Burritos;https://medlineplus.gov/recipes/chicken-and-black-bean-salsa-burritos/;
Chicken and Dumpling Casserole;https://medlineplus.gov/recipes/chicken-and-dumpling-casserole/;
Chicken and Rice;https://medlineplus.gov/recipes/chicken-and-rice/;3
Chicken, Broccoli, and Cheese Skillet;https://medlineplus.gov/recipes/chicken-broccoli-and-cheese-skillet/;1
Classic Honey Flan;https://medlineplus.gov/recipes/classic-honey-flan/;3
Classic Macaroni and Cheese;https://medlineplus.gov/recipes/classic-macaroni-and-cheese/;
Corn Pancakes;https://medlineplus.gov/recipes/corn-pancakes/;3
Cornbread;https://medlineplus.gov/recipes/cornbread/;2
Couscous With Carrots, Walnuts, and Raisins;https://medlineplus.gov/recipes/couscous-with-carrots-walnuts-and-raisins/;1
Cranberry Applesauce;https://medlineplus.gov/recipes/cranberry-applesauce/;2
Cranberry Oatmeal Balls;https://medlineplus.gov/recipes/cranberry-oatmeal-balls/;1
Creamy Fruit Salad;https://medlineplus.gov/recipes/creamy-fruit-salad/;2
Creamy Potato Leek Soup;https://medlineplus.gov/recipes/creamy-potato-leek-soup/;
Crispy Parmesan Baked Fish;https://medlineplus.gov/recipes/crispy-parmesan-baked-fish/;2
Crunchy Chicken Nuggets;https://medlineplus.gov/recipes/crunchy-chicken-nuggets/;5
Curried Pumpkin Soup;https://medlineplus.gov/recipes/curried-pumpkin-soup/;4
